mag,time,x,y,nnd,parent,T,R
1.379790725,1884.11,21.288003,10.53139,,-1,,
1.640294711,1888.204,20.658784,11.645523,8.70398083343478e-06,0,0.0015894908382287941,0.005475955333680202
1.584135866,1922.194,28.138952,6.42936,0.0008042820339816024,1,0.009149094345138359,0.08790837689951042
1.617305009,1925.768,19.540232,11.987755,3.325312488961673e-05,1,0.010111108560776051,0.0032887714230084857
1.667724027,1926.75,20.948828,5.43924,1.5130503398022278e-05,3,0.000273009439620349,0.05542117305197572
1.590480335,1929.969,26.602429,5.547748,1.5658438532159477e-05,2,0.002264759744700011,0.006913951278409706
1.461796431,1932.162,21.393535,9.886687,2.4424886833143337e-05,3,0.0017776195080779682,0.013740222090357504
1.551487957,1935.619,29.879227,6.246742,2.6510488665743024e-05,2,0.003910533707086455,0.0067792507753359
1.579914176,1939.089,22.991771,8.90462,2.1567081735182894e-05,6,0.002396495130434827,0.008999426479648093
1.464603822,1940.608,22.269612,12.578515,1.025174795896812e-05,8,0.0004450999990304089,0.023032460079308446
1.651221347,1942.156,0.943122,65.0,0.0011140342791436306,9,0.0005334428719582239,2.0883853505326724
1.54834491,1948.501,30.112823,0.0,0.00021384492049703272,7,0.003928640533443523,0.05443229500806323
1.57736158,1951.522,20.405973,13.051604,3.1376653793791314e-05,3,0.007159964468414105,0.004382235963908503
1.781791951,1953.617,28.411943,0.0,1.0676566320524713e-05,11,0.0015671440353652217,0.006812753696909901
1.484110019,1954.654,22.654401,13.03542,6.953716717062133e-06,9,0.004840270400210097,0.001436638068146007
1.541500685,1956.806,27.941877,0.0,4.4097233739364805e-07,13,0.0007035138404379524,0.0006268140184976793
1.637295707,1960.239,26.941259,7.474084,6.440843178648126e-05,2,0.011082030159113965,0.00581197044780745
1.687457422,1961.656,25.178502,9.051109,3.902571299834669e-06,16,0.0003830259586551552,0.010188790633243267
1.648363744,1962.81,28.006513,2.153442,1.4923646192985369e-05,13,0.002028034724097186,0.007358673900235551
1.594469889,1963.041,31.451774,13.949202,8.611548168783702e-06,18,6.147681583616449e-05,0.14007797983118464
1.557109614,1964.709,24.631695,12.243546,1.2074994176198832e-05,17,0.0007690466085474998,0.01570125144821184
1.488991663,1964.843,18.681645,14.629338,2.279582089841e-06,20,4.054439196363498e-05,0.05622435013665019
1.508648579,1965.455,21.91001,12.21851,3.2227544597347134e-06,20,0.00022571728660345544,0.014277836262476928
1.540878577,1965.776,25.854158,7.986056,3.6034500909496856e-06,17,0.0010378224786163365,0.0034721256912395456
1.624527617,1969.463,21.379532,12.567436,1.932914904638496e-06,22,0.0012982180545307149,0.0014888984927398919
1.627122754,1972.07,25.233375,6.47668,1.2555745301473843e-05,23,0.0019483394270836262,0.006444331581519101
1.549713166,1973.543,20.381579,12.705596,2.9731025680616877e-06,24,0.0011228343063697597,0.0026478551209163158
1.568378232,1977.735,22.199622,7.040175,2.4567476952903256e-05,25,0.0015533547127388376,0.01581575460609797
1.546804008,1978.259,24.085596,12.1357,4.61938736568858e-06,20,0.004099824709755168,0.0011267280171020871
1.47947894,1981.692,19.200826,14.658033,6.23818384388977e-06,21,0.005610454537530355,0.001111885641735497
1.541504848,1981.791,21.99639,12.007753,9.274602961951553e-07,29,3.340937053328517e-05,0.027760484001670818
1.521609433,1986.843,21.046372,12.356722,2.822143134429321e-06,24,0.004783053981545808,0.0005900295387252244
1.623664434,1990.033,20.410774,13.69899,5.77696034173492e-06,31,0.0010146020756205529,0.0056938187694930585
1.490999357,1991.492,20.641415,10.863909,5.608975977195959e-06,32,0.0004020109904936665,0.013952295110907734
1.585923587,1995.31,22.475528,8.949691,1.603132924101891e-05,8,0.016473974355160324,0.0009731306420297565
1.435479962,1996.62,19.484883,15.635518,1.6139319394656477e-05,32,0.0018149735396721506,0.008892316632655602
1.520773416,1996.766,21.674038,12.822835,1.3669879096570058e-06,35,5.241493196924449e-05,0.02608012370328198
1.531554937,1997.249,21.430041,11.583755,6.76427811715016e-07,36,0.00015380226411666693,0.00439803546196115
1.443586493,1999.043,21.331675,8.93553,3.715609439106621e-06,34,0.0010846459846927412,0.0034256425520804187
1.635347054,1999.902,20.10305,13.959273,1.6644165067000785e-06,32,0.002719291614243926,0.0006120772402568727
1.616268107,2001.114,22.296237,13.959571,2.9743140360519817e-06,39,0.0003285117980810545,0.009053903249216401
1.560747519,2001.508,21.653275,10.596188,2.081008194443561e-06,40,0.00010969721646485954,0.018970474014809596
1.586169613,2002.454,23.791254,8.970132,3.960555110510005e-06,41,0.00028477086372797765,0.01390786634089524
1.594834233,2003.211,26.048381,7.083571,3.412594870492303e-06,42,0.00021987490282304384,0.015520620255776859
1.642062133,2003.432,24.772489,3.225871,1.6301520903073422e-06,43,6.341336342413121e-05,0.025706759621064456
1.584953704,2005.92,22.146008,10.695575,1.2645758679057145e-06,41,0.001328127960642667,0.0009521491191961652
1.550270652,2006.143,20.367531,12.51375,7.992298651174779e-07,45,6.488243931258813e-05,0.012318122955688807
1.644198478,2006.637,21.05549,11.104303,7.363965685796829e-07,45,0.00020861304478532027,0.0035299641464774864
1.632542163,2008.92,19.435607,14.325948,4.0735612682877625e-06,39,0.002444322933246688,0.0016665397247151085
1.641675584,2009.132,20.883446,13.624227,3.1943568716621775e-07,48,5.7689541719394856e-05,0.005537150714768558
1.549242876,2012.534,19.849645,15.664192,3.903065671694822e-06,35,0.005713227584640466,0.0006831629956747893
1.642403867,2014.247,20.696679,13.355852,5.867924383413292e-07,49,0.0013741347264018798,0.0004270268606614893
1.363464578,2015.083,21.012981,19.020558,9.202713993360316e-06,51,0.00022435988578170266,0.041017644314163895
1.568794652,2016.327,21.657555,10.867143,1.5805793768883437e-06,41,0.004460908487933698,0.0003543178213952718
1.563699548,2021.02,22.360455,13.937667,1.9812422774052148e-07,40,0.005542215205455477,3.574820182830468e-05
1.451254314,2023.96,22.459549,11.245272,5.303443534228391e-06,53,0.0022718805642981273,0.0023343848341194962
1.570279499,2024.238,19.760668,17.497032,7.0150006677866045e-06,55,9.761441716300063e-05,0.0718643912617197
1.580756892,2024.341,23.348181,6.181651,4.525008135940056e-06,56,3.0592903705968234e-05,0.14791038403645523
1.506022932,2024.702,22.290541,10.707406,3.476972418475321e-07,55,0.00026053919976596235,0.0013345294764083957
1.467837873,2024.916,19.883423,14.626996,2.471136782189247e-06,58,6.957242189212477e-05,0.03551891273845343
1.516235029,2026.861,19.589628,14.116998,9.318496733338713e-07,59,0.0006672085635907117,0.0013966392582237589
1.575564775,2027.41,27.015007,6.560953,2.015561493461532e-05,57,0.0008982186793063824,0.022439541059399676
1.42049808,2029.745,19.452147,22.26356,5.637991873331739e-05,56,0.0016356807835827844,0.03446877856559713
1.553794858,2030.616,21.256635,15.440275,1.2277985637243934e-05,60,0.001203364009655487,0.010203052059666482
1.422560546,2030.749,19.40375,18.073803,7.589206891824162e-07,63,4.042982604366626e-05,0.018771307310665734
1.470039734,2032.252,22.650884,16.772509,4.110270161698612e-06,63,0.0004973172587023886,0.00826488542228199
1.726828809,2033.629,21.776206,12.314313,3.790234953712696e-06,22,0.022082015381630758,0.00017164352475117182
1.510218974,2033.765,18.83858,16.647363,1.0380882278490449e-06,66,3.2413180448142014e-05,0.03202673151775053
1.517227986,2034.361,23.559316,8.072978,4.544577133233646e-06,66,0.0001744591771177384,0.02604951604332409
1.584346635,2034.96,21.321562,13.252072,7.678981298029727e-07,66,0.00031722017041484944,0.0024207102871130243
1.536010813,2035.052,26.616263,8.792042,1.639439053529696e-06,69,2.6790502235220808e-05,0.06119478609006316
1.5880221,2035.286,18.190221,9.425617,3.3904029457549467e-06,69,9.493156226842204e-05,0.03571418045526812
1.24400084,2036.424,18.769041,22.014799,5.125387936309213e-06,62,0.0024488527609001077,0.0020929751343748857
1.576567404,2038.13,22.026935,10.017298,8.312110173698936e-06,58,0.004365506921344454,0.0019040423766271428
1.559359717,2039.195,22.452049,9.80776,2.657507523762113e-07,73,0.00031354018983394306,0.0008475811426820849
1.481728955,2040.389,21.805799,9.056868,1.017370139260158e-06,74,0.00036012746067905736,0.0028250279424451605
1.589292492,2041.637,21.802163,10.924647,1.0865564606552155e-06,53,0.007533249978040768,0.00014423475443168618
1.594993829,2041.925,24.212855,8.116773,1.8580996799059666e-06,76,8.328469601339796e-05,0.02231021746909006
1.47084908,2042.052,23.50873,3.98037,9.857649072050409e-07,77,3.643298664788536e-05,0.027056933781800088
1.50956519,2045.77,19.550007,12.758172,1.8092767198891647e-05,76,0.0011951932243866802,0.015137943246102356
1.648245138,2046.677,20.142986,14.090729,1.3642591652275482e-06,39,0.012678332801354305,0.00010760556506939282
1.596770283,2047.638,15.4467,16.41469,9.163090104167974e-06,80,0.00025579685632331545,0.035821746349322794
1.764932548,2047.811,21.380831,13.096903,5.861296668268749e-07,69,0.0037422254807098136,0.00015662596223776971
1.566709273,2048.014,22.409534,11.88162,2.0729645233918106e-07,82,4.585743709664617e-05,0.0045204543791293106
1.661193593,2048.459,24.420973,1.298266,1.690751527163111e-05,83,0.00013283842980704995,0.12727879497062378
1.778127471,2048.547,22.531302,12.626109,2.876515059656649e-07,83,0.0001591076024431256,0.0018079054774801757
1.503150904,2049.222,20.500618,11.080401,1.4128664164867407e-06,85,0.00014967859760964746,0.009439334942002924
1.55016449,2050.25,23.79097,3.354905,3.961920023026885e-06,84,0.00046812313449143077,0.008463414283789066
1.488986163,2052.656,20.927473,12.770552,9.258788963545706e-07,82,0.0010944792252858668,0.0008459538335346114
1.540506954,2054.646,21.606715,13.58654,1.2344391508402837e-06,82,0.0015440176480555512,0.0007994980837135293
1.473071319,2059.396,23.969945,12.123793,2.323948912830809e-06,28,0.024907968872321978,9.330142191614862e-05
1.465345651,2059.645,20.928592,14.563222,2.4212936574492893e-06,90,8.479015302594689e-05,0.028556307201242366
1.54323075,2059.81,22.255128,15.609501,4.3021923586374636e-07,91,5.679994142204603e-05,0.0075742901329254415
1.8457067,2060.669,20.302264,15.748815,1.8446334812396113e-06,91,0.00035250387888594877,0.005232945200686529
1.566332051,2061.658,21.023289,13.287612,1.583292866916767e-06,82,0.0031280193668799363,0.0005061646624317525
1.725283152,2061.806,24.998107,5.152348,4.262749777363428e-06,94,4.420341247352364e-05,0.09643485737479368
1.452556901,2063.437,22.433601,14.799774,2.4324300061957874e-06,92,0.001119048792809958,0.002173658576663041
1.483323736,2063.713,26.005419,14.402836,2.495803557188392e-06,96,9.673481256073856e-05,0.025800469253210247
