nthresh,n_clusters,avg_nodes_per_cluster,avg_diameter,avg_depth,max_depth,avg_out_degree,max_out_degree,avg_branching,degree_mean,max_degree,degree_std,mean_betweenness,max_betweeness,mean_closeness,max_closeness,largest_num_nodes,largest_avg_depth,largest_max_depth,largest_avg_out_degree,largest_max_out_degree,largest_diameter,largest_branching,largest_degree_mean,largest_degree_max,largest_degree_std,largest_mean_betweenness,largest_max_betweenness,largest_mean_closeness,largest_max_closeness,loc_err,sim
2.1430380649831967e-05,125,34.168,12.24,40.88246312339031,128,0.9707328494497776,7,1.562170308967596,1.9414656988995551,8,1.028209741023077,0.0027404489951043313,0.1320973655178694,0.007336619920631925,0.016891803278688524,1933,60.6316606311433,128,0.999482669425763,6,136,1.5618431689571544,1.998965338851526,7,1.0012919565978209,0.023196110457371855,0.6454443304352115,0.023028539620600436,0.037333333333333336,20,26
2.1906772271196343e-05,114,37.46491228070175,12.340425531914894,30.267384687426834,88,0.9733083586981971,8,1.5616078136739293,1.9466167173963942,9,1.018883818650966,0.0019258562441857867,0.05323274431484977,0.00562935621068583,0.011514361446829243,1237,33.01859337105901,61,0.9991915925626516,7,104,1.541147132169576,1.998383185125303,8,0.993917136560908,0.03284807809163096,0.6356930414160868,0.025164149491782715,0.03977857878475798,20,27
1.9886034979354746e-05,135,31.637037037037036,9.94915254237288,39.704284710840554,118,0.9683914774057598,8,1.572025845686051,1.9367829548115196,9,1.0417340735882243,0.003635829442538225,0.16421387674224558,0.006984875492010982,0.015477838318300444,2197,55.82794720072827,118,0.9995448338643604,8,135,1.5970909090909091,1.9990896677287209,9,1.0377486440454802,0.024023991244574536,0.6210077548327669,0.019467469031533728,0.030095796730028643,20,28
2.060748746034591e-05,137,31.175182481751825,11.893617021276595,32.78529618356357,77,0.9679232029969562,7,1.5670962850644428,1.9358464059939124,8,1.0346855003237794,0.003270991985999519,0.2151515500616338,0.008823410008220779,0.021903551681157027,2394,44.21345029239766,77,0.9995822890559732,7,101,1.5743421052631579,1.9991645781119465,8,1.0132782453442786,0.01766721306693441,0.6851641563255146,0.02400517178198253,0.039084064220033646,20,29
2.1234371717065152e-05,128,33.3671875,9.74,27.963708733317723,64,0.9700304378365723,7,1.5752851711026616,1.9400608756731446,8,1.0392277341114242,0.002289538802490419,0.111795565547164,0.007458419434272394,0.01629079365362745,1752,31.39611872146119,63,0.9994292237442922,7,111,1.5932666060054594,1.9988584474885844,8,1.0248058388593162,0.023658446594490967,0.6650501754099698,0.02471812433544203,0.03972683546601325,20,30
2.19216968157253e-05,104,41.06730769230769,13.075,37.83867946616717,108,0.975649730742215,6,1.5790071996968549,1.95129946148443,7,1.0266719650448834,0.004776149684201989,0.19076024912459139,0.006697692766146581,0.013583734802267553,2319,54.59680896938335,108,0.9995687796463993,6,158,1.588759424263194,1.9991375592927987,7,1.0168901927595138,0.027519792722746583,0.6474443500658933,0.016136764359704285,0.025022669372598127,20,31
2.012339181691612e-05,151,28.28476821192053,9.968253968253968,34.49449777569656,118,0.9646452821353313,10,1.5588346575860765,1.9292905642706626,11,1.0276721199135952,0.0043759095887276524,0.18707417946384342,0.006912235156209415,0.015114805419596332,2395,49.01586638830898,118,0.9995824634655532,10,155,1.582286847323199,1.9991649269311065,11,1.029015040711244,0.024027390382432904,0.5952522342211568,0.017818163691619943,0.026959155865361878,20,32
2.22380803566463e-05,119,35.890756302521005,10.363636363636363,34.12760477639897,75,0.9721376726761882,8,1.5603156708004509,1.9442753453523764,9,1.033589188317557,0.00255756700511146,0.11031646371669182,0.0075927022721474545,0.01607530997458124,1664,30.830528846153847,67,0.9993990384615384,8,102,1.5585754451733833,1.9987980769230769,9,1.027271637357607,0.023998613215388768,0.7275638172933523,0.025502943487192252,0.04127575080665177,20,33
1.9414477373516412e-05,166,25.728915662650603,9.970149253731343,24.299695621634278,67,0.9611332240693046,8,1.569189602446483,1.9222664481386091,9,1.0445690186587726,0.0009157370669354683,0.02631245463866456,0.004670035966204427,0.009944135402866894,903,30.92801771871539,67,0.9988925802879292,7,81,1.5796847635726796,1.9977851605758583,8,1.0202791891599807,0.035414797346929226,0.5901794261611267,0.031451245922746354,0.047074787328427535,20,34
2.3774725557689413e-05,93,45.924731182795696,12.236842105263158,47.441348630297355,106,0.9782252399906345,9,1.5647940074906368,1.956450479981269,10,1.031680312961259,0.004544408000302593,0.1276493077099047,0.007731118335444754,0.013918666997559193,1914,44.780041797283175,91,0.9994775339602926,7,141,1.5928393005828476,1.9989550679205852,8,1.0459650067111637,0.02694931648946895,0.6361648006264121,0.019920935771367124,0.031067803491676815,20,35
2.1687298763493343e-05,132,32.35606060606061,9.472727272727273,42.09529384219152,112,0.9690938890189651,8,1.5821865443425076,1.9381877780379302,9,1.0609698974289024,0.0035644538699231747,0.15033625675654178,0.007696230877224966,0.015978947906486993,2084,62.10172744721689,112,0.9995201535508638,8,134,1.592507645259939,1.9990403071017275,9,1.039987007295143,0.023749145269715968,0.6318991442088947,0.02066526293550113,0.03275569253994213,20,36
2.2620196214959594e-05,107,39.91588785046729,8.13953488372093,35.929056427066264,99,0.9749473191290096,8,1.5589666791463872,1.9498946382580191,9,1.0197393229259266,0.010438549705257271,0.481800552208257,0.014035586070627118,0.02475540692728594,3766,39.91635687732342,99,0.9997344662772172,8,163,1.56875,1.9994689325544344,9,1.0031812036288137,0.01522476866973671,0.6197360046177317,0.01786163585655231,0.02807585327477051,20,37
2.3815685438418492e-05,124,34.443548387096776,9.673469387755102,33.605947084991804,92,0.9709669866541794,10,1.5876722817764166,1.9419339733083587,11,1.0572025686782858,0.004201523911481207,0.2015798225099747,0.009374143236659364,0.020755652308492425,2571,44.48541423570595,92,0.999611046285492,10,130,1.588380716934487,1.999222092570984,11,1.0405991236063148,0.018512882964446288,0.556549581738568,0.021654019971928392,0.03448507212344851,20,38
2.2692695649642246e-05,120,35.59166666666667,14.657894736842104,38.0257550924842,107,0.9719035354717864,8,1.5837466615795497,1.9438070709435729,9,1.0566392317973854,0.003724594252382582,0.1450771670717986,0.00639223613081779,0.012771898824463257,2066,45.27541142303969,107,0.9995159728944821,8,159,1.6020170674941816,1.9990319457889643,9,1.0379997108640784,0.02810154833618033,0.6204736565497306,0.017663973603071332,0.026409689094652838,20,39
